,Kabupaten_Kota,Kecamatan,Kelurahan,Penduduk,Di bawah umur,Hak pilih
0,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,7094,2441,4653
1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,7157,2474,4683
2,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,2651,867,1784
3,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,2550,898,1652
4,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,6083,2132,3951
5,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,3696,1340,2356
6,JAKARTA PUSAT,GAMBIR,GAMBIR,3086,670,2416
7,JAKARTA PUSAT,GAMBIR,CIDENG,19319,4804,14515
8,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,22426,5936,16490
9,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,18907,4974,13933
10,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,12919,3301,9618
11,JAKARTA PUSAT,GAMBIR,DURI PULO,25712,7367,18345
12,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,16027,3581,12446
13,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,33061,9269,23792
14,JAKARTA PUSAT,SAWAH BESAR,KARTINI,28125,7259,20866
15,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,20801,5051,15750
16,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35767,9978,25789
17,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,26635,7559,19076
18,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,38431,11811,26620
19,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,29155,8956,20199
20,JAKARTA PUSAT,KEMAYORAN,SERDANG,37881,11560,26321
21,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,24754,6833,17921
22,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,42176,12779,29397
23,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,29323,8706,20617
24,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,37930,11968,25962
25,JAKARTA PUSAT,SENEN,SENEN,8638,2464,6174
26,JAKARTA PUSAT,SENEN,KENARI,11924,3059,8865
27,JAKARTA PUSAT,SENEN,PASEBAN,29748,8593,21155
28,JAKARTA PUSAT,SENEN,KRAMAT,36541,10661,25880
29,JAKARTA PUSAT,SENEN,KWITANG,19772,5704,14068
30,JAKARTA PUSAT,SENEN,BUNGUR,22998,6467,16531
31,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,29974,7928,22046
32,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,45030,13130,31900
33,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,27478,7587,19891
34,JAKARTA PUSAT,MENTENG,MENTENG,31988,8949,23039
35,JAKARTA PUSAT,MENTENG,PEGANGSAAN,29273,8326,20947
36,JAKARTA PUSAT,MENTENG,CIKINI,10421,2820,7601
37,JAKARTA PUSAT,MENTENG,GONDANGDIA,4900,1054,3846
38,JAKARTA PUSAT,MENTENG,KEBON SIRIH,15398,4267,11131
39,JAKARTA PUSAT,TANAH ABANG,GELORA,3936,1075,2861
40,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,26840,7252,19588
41,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,24411,7473,16938
42,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,42688,13236,29452
43,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,41722,12955,28767
44,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,27167,7629,19538
45,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,14773,4363,10410
46,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,47013,13748,33265
47,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,27323,8538,18785
48,JAKARTA PUSAT,JOHAR BARU,GALUR,23049,7100,15949
49,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,48241,14666,33575
50,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,112017,35936,76081
51,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,16207,5256,10951
52,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,44553,13515,31038
53,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,63010,25391,37619
54,JAKARTA UTARA,PENJARINGAN,PLUIT,57586,14812,42774
55,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,43866,13869,29997
56,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,78922,23986,54936
57,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,49833,16113,33720
58,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,37710,11939,25771
59,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,64686,20168,44518
60,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,87987,24960,63027
61,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56827,18267,38560
62,JAKARTA UTARA,KOJA,KOJA,35922,11400,24522
63,JAKARTA UTARA,KOJA,TUGU UTARA,87457,29078,58379
64,JAKARTA UTARA,KOJA,LAGOA,76265,24902,51363
65,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,43947,14402,29545
66,JAKARTA UTARA,KOJA,TUGU SELATAN,50723,17093,33630
67,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,54828,18355,36473
68,JAKARTA UTARA,CILINCING,CILINCING,55820,18984,36836
69,JAKARTA UTARA,CILINCING,SUKAPURA,70256,22980,47276
70,JAKARTA UTARA,CILINCING,MARUNDA,37524,13575,23949
71,JAKARTA UTARA,CILINCING,KALI BARU,88729,31022,57707
72,JAKARTA UTARA,CILINCING,SEMPER TIMUR,46203,15188,31015
73,JAKARTA UTARA,CILINCING,ROROTAN,53988,19067,34921
74,JAKARTA UTARA,CILINCING,SEMPER BARAT,87728,28512,59216
75,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,45900,12734,33166
76,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,93417,29047,64370
77,JAKARTA UTARA,PADEMANGAN,ANCOL,30106,9197,20909
78,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,40250,9804,30446
79,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,60726,16440,44286
80,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,43221,11726,31495
81,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,82757,25335,57422
82,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,98352,31531,66821
83,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,80317,25321,54996
84,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,40988,12923,28065
85,JAKARTA BARAT,CENGKARENG,KAPUK,171712,56352,115360
86,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,102464,32485,69979
87,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,20532,5493,15039
88,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,20674,5420,15254
89,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,36129,9782,26347
90,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,36535,9784,26751
91,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,30878,8034,22844
92,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,4565,13026,-8461
93,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,48497,14131,34366
94,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,17338,4396,12942
95,JAKARTA BARAT,TAMAN SARI,KRUKUT,23787,6898,16889
96,JAKARTA BARAT,TAMAN SARI,MAPHAR,19802,5143,14659
97,JAKARTA BARAT,TAMAN SARI,TANGKI,15889,4067,11822
98,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,9150,2222,6928
99,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,21565,6143,15422
100,JAKARTA BARAT,TAMAN SARI,GLODOK,9160,1904,7256
101,JAKARTA BARAT,TAMAN SARI,PINANGSIA,13006,3548,9458
102,JAKARTA BARAT,TAMBORA,TAMBORA,12460,3527,8933
103,JAKARTA BARAT,TAMBORA,KALI ANYAR,30248,9382,20866
104,JAKARTA BARAT,TAMBORA,DURI UTARA,24688,7068,17620
105,JAKARTA BARAT,TAMBORA,TANAH SEREAL,32499,8992,23507
106,JAKARTA BARAT,TAMBORA,KERENDANG,25098,7680,17418
107,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,36735,11262,25473
108,JAKARTA BARAT,TAMBORA,ANGKE,36387,10541,25846
109,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,25698,7516,18182
110,JAKARTA BARAT,TAMBORA,PEKOJAN,28442,7608,20834
111,JAKARTA BARAT,TAMBORA,ROA MALAKA,3983,843,3140
112,JAKARTA BARAT,TAMBORA,DURI SELATAN,17320,4880,12440
113,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,67399,20913,46486
114,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,48451,15358,33093
115,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,47293,15313,31980
116,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,29283,8950,20333
117,JAKARTA BARAT,KEBON JERUK,DURI KEPA,73972,21011,52961
118,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,56471,16396,40075
119,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,40035,11962,28073
120,JAKARTA BARAT,KALI DERES,KALIDERES,90748,28151,62597
121,JAKARTA BARAT,KALI DERES,SEMANAN,90604,30044,60560
122,JAKARTA BARAT,KALI DERES,TEGAL ALUR,106098,34292,71806
123,JAKARTA BARAT,KALI DERES,KAMAL,68673,23204,45469
124,JAKARTA BARAT,KALI DERES,PEGADUNGAN,93916,29321,64595
125,JAKARTA BARAT,PALMERAH,PALMERAH,78150,23597,54553
126,JAKARTA BARAT,PALMERAH,SLIPI,20479,6077,14402
127,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,31936,10090,21846
128,JAKARTA BARAT,PALMERAH,JATI PULO,36195,11117,25078
129,JAKARTA BARAT,PALMERAH,KEMANGGISAN,39422,11365,28057
130,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,27155,8547,18608
131,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,68432,21680,46752
132,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,54535,16218,38317
133,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,40397,12822,27575
134,JAKARTA BARAT,KEMBANGAN,SRENGSENG,57041,17996,39045
135,JAKARTA BARAT,KEMBANGAN,JOGLO,51232,16134,35098
136,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,33445,9528,23917
137,JAKARTA SELATAN,TEBET,TEBET TIMUR,21721,5721,16000
138,JAKARTA SELATAN,TEBET,TEBET BARAT,25778,6904,18874
139,JAKARTA SELATAN,TEBET,MENTENG DALAM,44858,13365,31493
140,JAKARTA SELATAN,TEBET,KEBON BARU,43753,13391,30362
141,JAKARTA SELATAN,TEBET,BUKIT DURI,42228,12406,29822
142,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,28217,8330,19887
143,JAKARTA SELATAN,TEBET,MANGGARAI,35422,10702,24720
144,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,3646,904,2742
145,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,3318,851,2467
146,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,19751,5611,14140
147,JAKARTA SELATAN,SETIA BUDI,KARET,11733,3155,8578
148,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,34282,10122,24160
149,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,33181,9931,23250
150,JAKARTA SELATAN,SETIA BUDI,GUNTUR,4673,1081,3592
151,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,7372,2042,5330
152,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,22845,6960,15885
153,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,26593,7628,18965
154,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,53495,15554,37941
155,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,40669,12653,28016
156,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,15903,4686,11217
157,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,30424,8761,21663
158,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,46728,14006,32722
159,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,31729,9664,22065
160,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,48889,14553,34336
161,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,72334,22497,49837
162,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,46123,13750,32373
163,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,55970,17902,38068
164,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,52841,16073,36768
165,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,69190,20242,48948
166,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,49540,15180,34360
167,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,52770,15672,37098
168,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,5541,16260,-10719
169,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,50541,14858,35683
170,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,63184,18001,45183
171,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,45702,13299,32403
172,JAKARTA SELATAN,CILANDAK,PONDOK LABU,56790,17407,39383
173,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,27150,7823,19327
174,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,32745,9377,23368
175,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,3160,722,2438
176,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,11278,2973,8305
177,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,17609,4922,12687
178,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,3311,739,2572
179,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,6653,1624,5029
180,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,3415,869,2546
181,JAKARTA SELATAN,KEBAYORAN BARU,PULO,6796,1628,5168
182,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,13918,3833,10085
183,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,48537,13811,34726
184,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,42348,12568,29780
185,JAKARTA SELATAN,PANCORAN,PANCORAN,24445,7592,16853
186,JAKARTA SELATAN,PANCORAN,KALIBATA,52678,16251,36427
187,JAKARTA SELATAN,PANCORAN,RAWA JATI,25663,7546,18117
188,JAKARTA SELATAN,PANCORAN,DUREN TIGA,34606,10229,24377
189,JAKARTA SELATAN,PANCORAN,PENGADEGAN,26275,7654,18621
190,JAKARTA SELATAN,PANCORAN,CIKOKO,13167,3862,9305
191,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,77540,24330,53210
192,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,72439,22611,49828
193,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,48163,15371,32792
194,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,67594,21422,46172
195,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,49772,15533,34239
196,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,47874,15580,32294
197,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,34239,10648,23591
198,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,65519,19935,45584
199,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,67264,21233,46031
200,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,46329,14326,32003
201,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,51479,16449,35030
202,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,39470,11629,27841
203,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,34816,10317,24499
204,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,31530,9148,22382
205,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,24144,6720,17424
206,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,19953,5394,14559
207,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,41305,12118,29187
208,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,42741,12495,30246
209,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,50743,15077,35666
210,JAKARTA TIMUR,PULO GADUNG,CIPINANG,48763,14279,34484
211,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,30997,9713,21284
212,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,46172,13230,32942
213,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,49902,14048,35854
214,JAKARTA TIMUR,PULO GADUNG,JATI,40117,11145,28972
215,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,32543,10339,22204
216,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,45169,12906,32263
217,JAKARTA TIMUR,JATINEGARA,BALI MESTER,11568,2985,8583
218,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,26822,8205,18617
219,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,39939,10979,28960
220,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,69166,20840,48326
221,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,44384,13883,30501
222,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,59002,18695,40307
223,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,42591,12714,29877
224,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,56004,18126,37878
225,JAKARTA TIMUR,KRAMAT JATI,DUKUH,31157,10075,21082
226,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,60365,19333,41032
227,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,36694,11871,24823
228,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,50176,15270,34906
229,JAKARTA TIMUR,KRAMAT JATI,CAWANG,40725,12050,28675
230,JAKARTA TIMUR,PASAR REBO,GEDONG,44678,13935,30743
231,JAKARTA TIMUR,PASAR REBO,BARU,30258,9951,20307
232,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,51643,15919,35724
233,JAKARTA TIMUR,PASAR REBO,KALISARI,53804,16759,37045
234,JAKARTA TIMUR,PASAR REBO,PEKAYON,54543,17262,37281
235,JAKARTA TIMUR,CAKUNG,JATINEGARA,107457,34813,72644
236,JAKARTA TIMUR,CAKUNG,RAWA TERATE,31511,10192,21319
237,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,124046,40638,83408
238,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,74759,24471,50288
239,JAKARTA TIMUR,CAKUNG,PULO GEBANG,122798,39435,83363
240,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,37783,12112,25671
241,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,74568,25197,49371
242,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,75941,22990,52951
243,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,76800,23278,53522
244,JAKARTA TIMUR,DUREN SAWIT,KLENDER,88308,28150,60158
245,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,89426,27396,62030
246,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,33692,9786,23906
247,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,38285,11453,26832
248,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,44504,13757,30747
249,JAKARTA TIMUR,MAKASAR,MAKASAR,43258,13307,29951
250,JAKARTA TIMUR,MAKASAR,PINANG RANTI,34323,11041,23282
251,JAKARTA TIMUR,MAKASAR,KEBON PALA,58570,17837,40733
252,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,35555,11122,24433
253,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,52894,15867,37027
254,JAKARTA TIMUR,CIRACAS,CIRACAS,81051,25416,55635
255,JAKARTA TIMUR,CIRACAS,CIBUBUR,82336,25650,56686
256,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,58605,18151,40454
257,JAKARTA TIMUR,CIRACAS,SUSUKAN,48176,15098,33078
258,JAKARTA TIMUR,CIRACAS,RAMBUTAN,46475,14847,31628
259,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,32730,9876,22854
260,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,34708,11242,23466
261,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,31949,10401,21548
262,JAKARTA TIMUR,CIPAYUNG,MUNJUL,29812,9501,20311
263,JAKARTA TIMUR,CIPAYUNG,SETU,25849,8463,17386
264,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,32940,10310,22630
265,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,79755,25355,54400
266,JAKARTA TIMUR,CIPAYUNG,CEGER,23736,7482,16254
